"name";"taxon";"lfc";"se";"diff"
"Permafrost";"Omnitrophia";0,959522515436914;0,341495720518098;TRUE
"Permafrost";"RCP2-54";-0,931184225160893;0,379669648623247;TRUE
"Permafrost";"Saccharimonadia";-1,71882055816023;0,381866393601429;TRUE
"Permafrost";"Sericytochromatia";-2,10742684818596;0,276376375125409;TRUE
"Permafrost";"SHA-26";-1,97406895945032;0,239550830194432;TRUE
"Permafrost";"Syntrophia";2,18965633835539;0,474895101274153;TRUE
"Permafrost";"TA06";-1,21901238171664;0,268232366878826;TRUE
"Permafrost";"Thermodesulfovibrionia";-1,56142925997365;0,381031573873682;TRUE
"Permafrost";"Thermoplasmata";-1,82710938820023;0,321107255015352;TRUE
"Permafrost";"TK10";-0,945627761396207;0,27312269665898;TRUE
"Permafrost";"uncultured";-1,13717510891827;0,305944379718466;TRUE
"Permafrost";"WPS-2";-1,26961897874272;0,479717388903;TRUE
"Permafrost_TypeOther";"Anaerolineae";2,39043200735475;0,548559293892708;TRUE
"Permafrost_TypeOther";"Armatimonadia";-1,10712139824514;0,429444423319991;TRUE
"Permafrost_TypeOther";"Bathyarchaeia";1,1223210111036;0,375797685776068;TRUE
"Permafrost_TypeOther";"BD7-11";-1,64834633875913;0,232880841290154;TRUE
"Permafrost_TypeOther";"Berkelbacteria";-1,47909685128636;0,242131975976139;TRUE
"Permafrost_TypeOther";"Caldisericia";1,1362076333473;0,42770045692702;TRUE
"Permafrost_TypeOther";"Campylobacteria";-1,45133321385519;0,267812385029362;TRUE
"Permafrost_TypeOther";"Chlamydiae";-1,28441745738799;0,417763969803161;TRUE
"Permafrost_TypeOther";"Chloroflexia";-1,69509246587765;0,417412655378266;TRUE
"Permafrost_TypeOther";"Clostridia";2,73533643265523;0,58691850529636;TRUE
"Permafrost_TypeOther";"Coriobacteriia";1,72116300090257;0,421276611546393;TRUE
"Permafrost_TypeOther";"Cyanobacteriia";-4,94754955652641;0,640477654304534;TRUE
"Permafrost_TypeOther";"Deinococci";-2,03657857093086;0,378409211366272;TRUE
"Permafrost_TypeOther";"Desulfobacteria";-1,17088087066662;0,255941932576627;TRUE
"Permafrost_TypeOther";"Desulfobulbia";-1,198780297421;0,376211132772127;TRUE
"Permafrost_TypeOther";"Desulfuromonadia";2,21447961037016;0,438473346567981;TRUE
"Permafrost_TypeOther";"FCPU426";-1,70625143631718;0,22315127236397;TRUE
"Permafrost_TypeOther";"Holophagae";1,9657447734393;0,586788273204343;TRUE
"Permafrost_TypeOther";"Ignavibacteria";1,96862402400018;0,427863871199419;TRUE
"Permafrost_TypeOther";"JG30-KF-CM66";-1,29764254802942;0,340233868976684;TRUE
"Permafrost_TypeOther";"KD4-96";2,85906094938524;0,540377063250621;TRUE
"Permafrost_TypeOther";"Methanobacteria";1,82728385650469;0,371729282842521;TRUE
"Permafrost_TypeOther";"Methanomicrobia";1,40343476283608;0,390479352040918;TRUE
"Permafrost_TypeOther";"NB1-j";-1,4926957925639;0,300708562624143;TRUE
"Permafrost_TypeOther";"Negativicutes";1,16065027466835;0,432333465586273;TRUE
"Permafrost_TypeOther";"Nitrospiria";-2,1976456335601;0,39014664868801;TRUE
"Permafrost_TypeOther";"OLB14";-0,763642608453516;0,264356427620958;TRUE
"Permafrost_TypeOther";"OM190";-1,44083688513659;0,326038943600781;TRUE
"Permafrost_TypeOther";"Parcubacteria";2,13552205040484;0,341658208220316;TRUE
"Permafrost_TypeOther";"Phycisphaerae";1,69043568701443;0,493635016850152;TRUE
"Permafrost_TypeOther";"RCP2-54";-1,74491061586594;0,392358200735269;TRUE
"Permafrost_TypeOther";"Sericytochromatia";-1,15957843672258;0,303535455206505;TRUE
"Permafrost_TypeOther";"SHA-26";-1,20886201343957;0,272712951151216;TRUE
"Permafrost_TypeOther";"Syntrophia";2,81446462238984;0,476356416847642;TRUE
"Permafrost_TypeOther";"uncultured";-1,78178643853952;0,328636841866346;TRUE
"Permafrost_TypeOther";"Verrucomicrobiae";1,93170991450727;0,662091588593283;TRUE
