#Tile	Base	Mean
1110	320-324	1.4606893644024233
1110	325-326	0.01214013864397856
1111	1	-0.022371302728025455
1111	2	-0.0054305617375973725
1111	3	-0.05699168977924529
1111	4	-0.03810508854322592
1111	5	-0.006765622345177746
1111	6	0.017866184346530645
1111	7	-0.10439357952105155
1111	8	-0.13027101788752304
1111	9	-0.2206517334263225
1111	10-14	-0.1355601447064103
1111	15-19	-0.030862432831035846
1111	20-24	0.016011384504153625
1111	25-29	-0.06511646142789118
1111	30-34	-0.06783585389307234
1111	35-39	0.008219800456807036
1111	40-44	0.05358163471276356
1111	45-49	-0.06880635592683149
1111	50-54	0.053875018327531166
1111	55-59	-0.14813537553376932
1111	60-64	0.04800550740397824
1111	65-69	-0.06519656762323933
1111	70-74	-0.008813473234027924
1111	75-79	-0.26372749442401044
1111	80-84	0.05794232389297349
1111	85-89	0.15423132487345015
1111	90-94	0.14563142568099607
1111	95-99	0.07982172309557711
1111	100-104	0.21342961927785353
1111	105-109	0.190910024067378
1111	110-114	0.07893203072329413
1111	115-119	0.23213923868726738
1111	120-124	0.3399324754621844
1111	125-129	0.1818622223565285
1111	130-134	0.13300626711412633
1111	135-139	0.38489416882261196
1111	140-144	0.25320854035560814
1111	145-149	0.3519453735185749
1111	150-154	0.35502890629194184
1111	155-159	0.5195940814956046
1111	160-164	0.5635717109093648
1111	165-169	0.3341878648735772
1111	170-174	0.3825531882187434
1111	175-179	0.17070993424025005
1111	180-184	0.1399628344180499
1111	185-189	0.008694748576303368
1111	190-194	0.2829291442344868
1111	195-199	0.21228306488605853
1111	200-204	0.31422215069304826
1111	205-209	0.3359495681137403
1111	210-214	0.5667933050611893
1111	215-219	0.49115484337461623
1111	220-224	0.8601994714432735
1111	225-229	0.24203368670875847
1111	230-234	0.6127346763828214
1111	235-239	0.3701864200796692
1111	240-244	0.28969479036118884
1111	245-249	0.9858377475831119
1111	250-254	0.7861280279342466
1111	255-259	0.41855566875442207
1111	260-264	0.14656789976881868
1111	265-269	0.42496181072710115
1111	270-274	1.1651199024104777
1111	275-279	0.43683780664608207
1111	280-284	0.2867010297595982
1111	285-289	0.5147541992096869
1111	290-294	0.4254404687485618
1111	295-299	0.26805102661116464
1111	300-304	-0.5008195013894721
1111	305-309	0.92745692209364
1111	310-314	-0.08949526418089704
1111	315-319	0.3078515380631863
1111	320-324	0.9019676008272732
1111	325-326	0.47277025675639806
1112	1	-0.050638237098155514
1112	2	0.02649418548784155
1112	3	-0.06402999836664947
1112	4	-0.0662555497216033
1112	5	-0.17803945081899286
1112	6	-0.11100030964400531
1112	7	-0.130844086734065
1112	8	0.12154402268397035
1112	9	0.23984166919931482
1112	10-14	0.10447834691029101
1112	15-19	0.03164872918317485
1112	20-24	0.004145539435675971
1112	25-29	0.16760973228366538
1112	30-34	-0.0315988254015096
1112	35-39	-0.14720646369329415
1112	40-44	-0.21548585872868387
1112	45-49	-0.22358536191133283
1112	50-54	-0.323401616595568
1112	55-59	-0.16294632845087165
1112	60-64	-0.3550843599829747
1112	65-69	-0.3206577737308791
1112	70-74	-0.33190456081632647
1112	75-79	-0.271683722689275
1112	80-84	0.06136053475382397
1112	85-89	0.10228594525403878
1112	90-94	0.24073345065062313
1112	95-99	0.2453367841885381
1112	100-104	0.2309482965861065
1112	105-109	0.21539379824250204
1112	110-114	0.11310970225780181
1112	115-119	0.32895397420992367
1112	120-124	0.4737457522967716
1112	125-129	0.3442103219022954
1112	130-134	0.4871418973727515
1112	135-139	0.3480265211928497
1112	140-144	0.4948338405513937
1112	145-149	0.47413961752435796
1112	150-154	0.559265757300544
1112	155-159	0.6749732017347583
1112	160-164	0.6735085380686954
1112	165-169	0.5907233975165767
1112	170-174	0.27160027111991525
1112	175-179	0.4397080984008923
1112	180-184	0.4144685166459041
1112	185-189	0.45046480831040725
1112	190-194	0.6322549863079274
1112	195-199	0.44614404026584253
1112	200-204	0.5611236864752769
1112	205-209	0.7134652503970571
1112	210-214	0.6639957299221138
1112	215-219	0.6131006112380035
1112	220-224	0.9656753753584297
1112	225-229	0.7723810541373126
1112	230-234	0.8947639721637088
1112	235-239	1.0221950280031749
1112	240-244	1.240548095149343
1112	245-249	0.7945255384194496
1112	250-254	0.5280844447751534
1112	255-259	0.715934467305722
1112	260-264	0.14055233673185796
1112	265-269	1.691164618285658
1112	270-274	0.7403643574545917
1112	275-279	0.6319270750280523
1112	280-284	0.2670331447463745
1112	285-289	0.42500661325523836
1112	290-294	0.4397589064548164
1112	295-299	0.8513726201862823
