#Total Deduplicated Percentage	5.263915374374842
#Duplication Level	Percentage of total
1	3.4554564098873817
2	1.3816428597128774
3	0.9714676357356169
4	0.7250026985212104
5	0.5734357572050516
6	0.39938113913575357
7	0.34945849674378443
8	0.3346166300867125
9	0.29144029072068506
>10	4.068020724642896
>50	2.4911848307127693
>100	8.420285683445472
>500	4.0005576943834775
>1k	52.57079120641889
>5k	19.96725794264743
>10k+	0.0
