"sample.id","Location","Type","Abditibacteriota","Acidobacteriota","Actinobacteriota","Altiarchaeota","Armatimonadota","Arthropoda","Ascomycota","Asgardarchaeota","Bacteroidota","Basidiomycota","Bdellovibrionota","Caldatribacteriota","Caldisericota","Campilobacterota","Cercozoa","Chloroflexi","Ciliophora","Cloacimonadota","Crenarchaeota","Cyanobacteria","Deinococcota","Dependentiae","Desulfobacterota","Diatomea","Elusimicrobiota","Entotheonellaeota","Euryarchaeota","Fibrobacterota","Firestonebacteria","Firmicutes","Fusobacteriota","Gemmatimonadota","Halobacterota","Hydrogenedentes","Latescibacterota","Margulisbacteria","Methylomirabilota","Myxococcota","Nanoarchaeota","Nitrospinota","Nitrospirota","Patescibacteria","Phragmoplastophyta","Planctomycetota","Proteobacteria","Spirochaetota","Sumerlaeota","Synergistota","Thermoplasmatota","Verrucomicrobiota","Zixibacteria"
"BrH1","Barrow Alaska High","Permafrost","2.140411e-04","1.720623e-01","9.206443e-02","0.000000e+00","5.377783e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.750856e-01","0.000000e+00","2.033390e-03","1.337757e-04","6.769050e-03","0.000000e+00","0.000000e+00","6.795805e-02","0.000000e+00","0.000000e+00","2.381207e-03","1.361836e-02","0.000000e+00","1.872860e-04","4.823951e-02","0.000000e+00","4.896190e-03","0.000000e+00","4.387842e-03","9.631849e-04","0.000000e+00","1.257491e-02","0.000000e+00","4.013271e-03","7.866010e-03","6.421233e-04","7.491438e-04","0.000000e+00","8.561644e-04","2.774508e-02","2.407962e-04","0.000000e+00","3.478168e-04","1.739084e-03","0.000000e+00","2.985873e-02","1.841556e-01","2.381207e-03","4.013271e-04","0.000000e+00","8.026541e-05","1.299765e-01","0.000000e+00"
"BrH2","Barrow Alaska High","Permafrost","8.064306e-04","1.387841e-01","8.085117e-02","0.000000e+00","3.173695e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.555891e-01","0.000000e+00","4.656487e-03","7.804167e-05","1.040556e-04","0.000000e+00","0.000000e+00","4.856794e-02","0.000000e+00","0.000000e+00","5.462917e-04","5.410889e-03","0.000000e+00","3.902084e-04","2.153950e-02","0.000000e+00","6.009209e-03","0.000000e+00","6.763612e-03","1.014542e-03","0.000000e+00","4.006139e-03","0.000000e+00","1.368331e-02","2.211181e-03","0.000000e+00","7.283890e-04","0.000000e+00","1.794959e-03","3.610728e-02","3.121667e-04","0.000000e+00","5.306834e-03","4.006139e-03","0.000000e+00","1.875602e-02","3.044926e-01","2.861528e-04","0.000000e+00","7.804167e-05","1.040556e-04","1.338415e-01","0.000000e+00"
"BrH3","Barrow Alaska High","Permafrost","0.0004914810","0.1691240716","0.0927806903","0.0000000000","0.0047509830","0.0000000000","0.0000000000","0.0000000000","0.1739569681","0.0000000000","0.0023754915","0.0001365225","0.0074814329","0.0000000000","0.0000000000","0.0656127130","0.0000000000","0.0000000000","0.0021843600","0.0121231979","0.0000000000","0.0000546090","0.0487658366","0.0000000000","0.0048602010","0.0000000000","0.0037680210","0.0004641765","0.0000000000","0.0109217999","0.0000000000","0.0040137615","0.0070445609","0.0005187855","0.0006006990","0.0000000000","0.0012013980","0.0289154653","0.0006006990","0.0000000000","0.0007645260","0.0018020970","0.0000000000","0.0327653997","0.1903669725","0.0026212320","0.0001911315","0.0001092180","0.0000000000","0.1286314985","0.0000000000"
"BrH4","Barrow Alaska High","Permafrost","8.436594e-04","1.379910e-01","8.420775e-02","0.000000e+00","4.086475e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.574479e-01","0.000000e+00","4.824677e-03","1.318218e-04","1.318218e-04","0.000000e+00","0.000000e+00","4.887951e-02","0.000000e+00","0.000000e+00","8.436594e-04","4.640127e-03","0.000000e+00","4.218297e-04","2.217242e-02","0.000000e+00","5.958344e-03","0.000000e+00","5.721065e-03","1.212760e-03","0.000000e+00","4.956499e-03","0.000000e+00","1.363037e-02","2.188241e-03","0.000000e+00","4.218297e-04","0.000000e+00","1.080939e-03","3.456367e-02","2.109148e-04","0.000000e+00","4.587398e-03","3.849196e-03","0.000000e+00","1.824413e-02","3.053256e-01","2.636436e-04","1.845505e-04","7.909307e-05","5.272871e-05","1.308463e-01","0.000000e+00"
"BrH5","Barrow Alaska High","Permafrost","8.111374e-04","9.048321e-02","1.061431e-01","0.000000e+00","2.996242e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.951696e-01","0.000000e+00","5.810392e-03","0.000000e+00","2.483074e-04","0.000000e+00","0.000000e+00","2.648612e-02","0.000000e+00","2.979688e-04","2.317535e-04","1.489844e-04","0.000000e+00","4.303994e-04","4.469533e-03","0.000000e+00","1.456737e-03","0.000000e+00","3.443196e-03","1.655382e-04","0.000000e+00","2.024533e-02","2.151997e-04","3.393534e-03","1.489844e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.326574e-03","1.820921e-04","0.000000e+00","6.621530e-05","8.260359e-03","0.000000e+00","7.565098e-03","3.394031e-01","7.118145e-04","9.932295e-05","0.000000e+00","1.158768e-04","1.724743e-01","0.000000e+00"
"BrH6","Barrow Alaska High","Permafrost","1.477963e-03","6.703976e-02","9.133482e-02","0.000000e+00","3.437510e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.409446e-01","0.000000e+00","3.321266e-04","9.963798e-05","1.672257e-02","0.000000e+00","0.000000e+00","1.109635e-01","0.000000e+00","2.989139e-04","3.254841e-03","1.992760e-03","0.000000e+00","8.303165e-05","8.452622e-02","0.000000e+00","3.985519e-03","0.000000e+00","1.361719e-03","9.631672e-04","1.826696e-04","3.377728e-02","0.000000e+00","1.247135e-02","9.482215e-03","3.653393e-04","4.815836e-04","0.000000e+00","5.147962e-04","4.467103e-03","5.314026e-04","0.000000e+00","2.490950e-04","8.236740e-03","0.000000e+00","1.086054e-02","8.150387e-02","2.059185e-03","1.428144e-03","7.306785e-04","0.000000e+00","1.038394e-01","0.000000e+00"
"BrH7","Barrow Alaska High","Permafrost","0.0000000000","0.0419724964","0.0882477010","0.0000000000","0.0013498692","0.0000000000","0.0000000000","0.0000000000","0.2839154644","0.0000000000","0.0026153716","0.0016451531","0.0299291319","0.0007593014","0.0000000000","0.0273348519","0.0000000000","0.0013287775","0.0001265502","0.0082679490","0.0000000000","0.0000000000","0.0182232346","0.0000000000","0.0023622712","0.0015396946","0.0063275120","0.0056314857","0.0000000000","0.2567704379","0.0000000000","0.0004218341","0.0066649793","0.0000000000","0.0000000000","0.0000000000","0.0018560702","0.0067493462","0.0000000000","0.0000000000","0.0008858517","0.0081835822","0.0000000000","0.0133299587","0.1351767485","0.0000000000","0.0000000000","0.0000000000","0.0002531005","0.0481312748","0.0000000000"
"BrH8","Barrow Alaska High","Permafrost","2.460559e-04","5.009408e-02","3.741497e-02","0.000000e+00","2.388189e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.924012e-01","2.894775e-05","1.490809e-03","1.447387e-04","2.153713e-02","3.328991e-04","0.000000e+00","4.394268e-02","0.000000e+00","0.000000e+00","4.790853e-03","3.705312e-03","0.000000e+00","0.000000e+00","1.017513e-01","0.000000e+00","6.397453e-03","0.000000e+00","3.415834e-03","6.165871e-03","0.000000e+00","7.962078e-02","8.973802e-04","3.473730e-04","3.502678e-03","3.473730e-04","4.486901e-04","0.000000e+00","5.210595e-04","8.669851e-03","4.486901e-04","0.000000e+00","5.789550e-04","7.367202e-03","0.000000e+00","1.020408e-02","7.708786e-02","4.660588e-03","7.092199e-04","1.157910e-04","1.736865e-04","1.280504e-01","0.000000e+00"
"BrH9","Barrow Alaska High","Permafrost","6.858888e-04","1.928512e-01","7.348069e-02","0.000000e+00","7.428305e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.005151e-01","0.000000e+00","4.257687e-03","0.000000e+00","1.035304e-04","0.000000e+00","0.000000e+00","2.790144e-02","0.000000e+00","0.000000e+00","0.000000e+00","2.407081e-03","0.000000e+00","7.894192e-04","2.704731e-03","0.000000e+00","7.053008e-03","0.000000e+00","5.823584e-04","8.748318e-03","0.000000e+00","9.188322e-04","0.000000e+00","1.393778e-02","5.176519e-05","0.000000e+00","1.074128e-03","0.000000e+00","7.764779e-05","5.091107e-02","0.000000e+00","0.000000e+00","1.423543e-03","1.798840e-03","0.000000e+00","3.740035e-02","3.319055e-01","3.494151e-04","1.811782e-04","0.000000e+00","0.000000e+00","1.304612e-01","0.000000e+00"
"BrH10","Barrow Alaska High","Permafrost","3.447527e-04","2.089840e-01","5.689697e-02","0.000000e+00","8.171917e-04","0.000000e+00","0.000000e+00","0.000000e+00","1.138067e-01","0.000000e+00","3.473065e-03","0.000000e+00","2.170665e-04","6.384310e-05","0.000000e+00","2.290690e-02","0.000000e+00","0.000000e+00","1.864218e-03","3.575214e-04","0.000000e+00","1.915293e-04","4.720559e-02","0.000000e+00","3.102775e-03","0.000000e+00","5.107448e-05","2.400501e-03","0.000000e+00","1.864218e-02","0.000000e+00","5.941239e-02","1.136407e-03","0.000000e+00","0.000000e+00","1.021490e-04","4.085958e-04","4.839307e-03","3.830586e-05","0.000000e+00","2.042979e-04","2.298352e-03","0.000000e+00","2.253661e-02","3.028078e-01","2.489881e-03","1.659921e-04","0.000000e+00","0.000000e+00","1.222340e-01","0.000000e+00"
